,Data,BibliotecaRichiedente,BibliotecaPrestante,NumeroLibri
0,12-09-2022,RMBA1 - BIBLIOTECA EUROPEA,RMBC1 - BIBLIOTECA TULLIO DE MAURO,2
1,12-09-2022,RMBA1 - BIBLIOTECA EUROPEA,RMBG1 - BIBLIOTECA GIANNI RODARI,1
2,12-09-2022,RMBA1 - BIBLIOTECA EUROPEA,RMBL1 - BIBLIOTECA RAFFAELLO,1
3,12-09-2022,RMBA1 - BIBLIOTECA EUROPEA,RMBO2 - BIBLIOTECA ELSA MORANTE,1
0,12-09-2022,RMBA3 - BIBLIOTECA ENZO TORTORA,RMBO2 - BIBLIOTECA ELSA MORANTE,1
1,12-09-2022,RMBA3 - BIBLIOTECA ENZO TORTORA,RMBQ2 - BIBLIOTECA RENATO NICOLINI,1
2,12-09-2022,RMBA3 - BIBLIOTECA ENZO TORTORA,RMBT2 - BIBLIOTECA CORNELIA,1
0,12-09-2022,RMBB1 - BIBLIOTECA VILLA LEOPARDI,RMBB3 - BIBLIOTECA FLAMINIA,1
1,12-09-2022,RMBB1 - BIBLIOTECA VILLA LEOPARDI,RMBC1 - BIBLIOTECA TULLIO DE MAURO,1
2,12-09-2022,RMBB1 - BIBLIOTECA VILLA LEOPARDI,RMBH1 - BIBLIOTECA RUGANTINO,1
0,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBA2 - PIM CENTRALE,1
1,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBA3 - BIBLIOTECA ENZO TORTORA,1
2,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBB1 - BIBLIOTECA VILLA LEOPARDI,1
3,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBD1 - BIBLIOTECA ENNIO FLAIANO,1
4,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBE2 - BIBLIOTECA ALDO FABRIZI,1
5,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,1
6,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBG1 - BIBLIOTECA GIANNI RODARI,1
7,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBH1 - BIBLIOTECA RUGANTINO,1
8,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBL1 - BIBLIOTECA RAFFAELLO,1
9,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBN1 - BIBLIOTECA PIER PAOLO PASOLINI,2
10,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBO2 - BIBLIOTECA ELSA MORANTE,1
11,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBQ1 - BIBLIOTECA GUGLIELMO MARCONI,1
12,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBT2 - BIBLIOTECA CORNELIA,2
13,12-09-2022,RMBB3 - BIBLIOTECA FLAMINIA,RMBU1 - BIBLIOTECA FRANCO BASAGLIA,1
0,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBBR - BIBLIOTECA CENTRALE PER RAGAZZI,1
1,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,1
2,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBG1 - BIBLIOTECA GIANNI RODARI,1
3,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBI1 - BIBLIOTECA NELSON MANDELA,1
4,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBL1 - BIBLIOTECA RAFFAELLO,1
5,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBO1 - BIBLIOTECA SANDRO ONOFRI,1
6,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBO2 - BIBLIOTECA ELSA MORANTE,1
7,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBU1 - BIBLIOTECA FRANCO BASAGLIA,1
8,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBWA - BIBLIOTECA FABRIZIO GIOVENALE,1
9,12-09-2022,RMBC1 - BIBLIOTECA TULLIO DE MAURO,RMBWG - B. COSTANZO LICEO GIULIO CESARE,1
0,12-09-2022,RMBD1 - BIBLIOTECA ENNIO FLAIANO,RMBE2 - BIBLIOTECA ALDO FABRIZI,1
1,12-09-2022,RMBD1 - BIBLIOTECA ENNIO FLAIANO,RMBH2 - BIBLIOTECA BORGHESIANA,1
2,12-09-2022,RMBD1 - BIBLIOTECA ENNIO FLAIANO,RMBT2 - BIBLIOTECA CORNELIA,1
0,12-09-2022,RMBE1 - BIBLIOTECA VACCHERIA NARDI,RMBA3 - BIBLIOTECA ENZO TORTORA,1
1,12-09-2022,RMBE1 - BIBLIOTECA VACCHERIA NARDI,RMBD1 - BIBLIOTECA ENNIO FLAIANO,2
2,12-09-2022,RMBE1 - BIBLIOTECA VACCHERIA NARDI,RMBN1 - BIBLIOTECA PIER PAOLO PASOLINI,1
3,12-09-2022,RMBE1 - BIBLIOTECA VACCHERIA NARDI,RMBR2 - BIBLIOTECA LONGHENA,1
4,12-09-2022,RMBE1 - BIBLIOTECA VACCHERIA NARDI,RMBT1 - BIBLIOTECA VALLE AURELIA,1
5,12-09-2022,RMBE1 - BIBLIOTECA VACCHERIA NARDI,RMBT2 - BIBLIOTECA CORNELIA,1
6,12-09-2022,RMBE1 - BIBLIOTECA VACCHERIA NARDI,RMBU1 - BIBLIOTECA FRANCO BASAGLIA,1
0,12-09-2022,RMBE2 - BIBLIOTECA ALDO FABRIZI,RMBA1 - BIBLIOTECA EUROPEA,1
1,12-09-2022,RMBE2 - BIBLIOTECA ALDO FABRIZI,RMBA3 - BIBLIOTECA ENZO TORTORA,1
2,12-09-2022,RMBE2 - BIBLIOTECA ALDO FABRIZI,RMBE1 - BIBLIOTECA VACCHERIA NARDI,1
3,12-09-2022,RMBE2 - BIBLIOTECA ALDO FABRIZI,RMBF2 - BIBLIOTECA PENAZZATO,2
4,12-09-2022,RMBE2 - BIBLIOTECA ALDO FABRIZI,RMBN1 - BIBLIOTECA PIER PAOLO PASOLINI,1
5,12-09-2022,RMBE2 - BIBLIOTECA ALDO FABRIZI,RMBO2 - BIBLIOTECA ELSA MORANTE,1
0,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBA1 - BIBLIOTECA EUROPEA,1
1,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBB3 - BIBLIOTECA FLAMINIA,1
2,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBBR - BIBLIOTECA CENTRALE PER RAGAZZI,1
3,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBE2 - BIBLIOTECA ALDO FABRIZI,1
4,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBH3 - COLLINA DELLA PACE,2
5,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBO1 - BIBLIOTECA SANDRO ONOFRI,1
6,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBO2 - BIBLIOTECA ELSA MORANTE,1
7,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBT1 - BIBLIOTECA VALLE AURELIA,1
8,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBU1 - BIBLIOTECA FRANCO BASAGLIA,1
9,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBU2 - BIBLIOTECA CASA DEL PARCO,1
10,12-09-2022,RMBF1 - BIBLIOTECA GOFFREDO MAMELI,RMBWA - BIBLIOTECA FABRIZIO GIOVENALE,1
0,12-09-2022,RMBF2 - BIBLIOTECA PENAZZATO,RMBB1 - BIBLIOTECA VILLA LEOPARDI,2
1,12-09-2022,RMBF2 - BIBLIOTECA PENAZZATO,RMBN1 - BIBLIOTECA PIER PAOLO PASOLINI,1
2,12-09-2022,RMBF2 - BIBLIOTECA PENAZZATO,RMBR1 - BIBLIOTECA COLLI PORTUENSI,1
3,12-09-2022,RMBF2 - BIBLIOTECA PENAZZATO,RMBT1 - BIBLIOTECA VALLE AURELIA,1
4,12-09-2022,RMBF2 - BIBLIOTECA PENAZZATO,RMBT2 - BIBLIOTECA CORNELIA,1
0,12-09-2022,RMBG1 - BIBLIOTECA GIANNI RODARI,RMBA1 - BIBLIOTECA EUROPEA,1
0,12-09-2022,RMBH1 - BIBLIOTECA RUGANTINO,RMBWA - BIBLIOTECA FABRIZIO GIOVENALE,1
0,12-09-2022,RMBH2 - BIBLIOTECA BORGHESIANA,RMBA1 - BIBLIOTECA EUROPEA,1
0,12-09-2022,RMBH3 - COLLINA DELLA PACE,RMBG1 - BIBLIOTECA GIANNI RODARI,1
0,12-09-2022,RMBI1 - BIBLIOTECA NELSON MANDELA,RMBA2 - PIM CENTRALE,2
1,12-09-2022,RMBI1 - BIBLIOTECA NELSON MANDELA,RMBB1 - BIBLIOTECA VILLA LEOPARDI,1
2,12-09-2022,RMBI1 - BIBLIOTECA NELSON MANDELA,RMBD1 - BIBLIOTECA ENNIO FLAIANO,1
3,12-09-2022,RMBI1 - BIBLIOTECA NELSON MANDELA,RMBU1 - BIBLIOTECA FRANCO BASAGLIA,1
4,12-09-2022,RMBI1 - BIBLIOTECA NELSON MANDELA,RMBWA - BIBLIOTECA FABRIZIO GIOVENALE,3
0,12-09-2022,RMBL1 - BIBLIOTECA RAFFAELLO,RMBA3 - BIBLIOTECA ENZO TORTORA,1
